learning_rate,dimension,x_inicial,y_inicial,x_final,y_final,valor_minimo,iteraciones,convergido
0.001,1D,-2.0,,-0.3435575525517343,,16.179377107225744,201,False
0.01,1D,-2.0,,2.9138190616319646,,5.0074271541379956,201,False
0.1,1D,-2.0,,2.9999960768114153,,5.000000000015391,62,True
0.5,1D,-2.0,,3.0,,5.0,1,True
0.9,1D,-2.0,,3.0000004212491667,,5.000000000000178,72,True
1.0,1D,-2.0,,8.0,,30.0,201,False
1.5,1D,-2.0,,1.6069380442589903e+61,,2.5822498780869086e+122,201,False
0.001,2D,-1.0,4.0,-0.010154841213468286,3.010154841213468,8.081444971307889,200,False
0.001,2D,5.0,-1.0,4.010154841213467,-0.34010322747564575,5.836599145944581,200,False
0.001,2D,0.0,0.0,0.6598967725243547,0.3299483862621774,2.244845825363301,200,False
0.01,2D,-1.0,4.0,1.947236160182835,1.052763839817165,0.005568045584503523,200,False
0.01,2D,5.0,-1.0,2.0527638398171644,0.9648241067885569,0.004021366255474668,200,False
0.01,2D,0.0,0.0,1.9648241067885572,0.9824120533942786,0.0015466793290279668,200,False
0.1,2D,-1.0,4.0,1.9999997472505,1.0000002527495,1.2789769243681803e-13,73,True
0.1,2D,5.0,-1.0,2.0000003159368753,0.9999997893754167,1.438849039914203e-13,72,True
0.1,2D,0.0,0.0,1.9999996708990886,0.9999998354495443,1.3500311979441904e-13,70,True
0.5,2D,-1.0,4.0,2.0,1.0,0.0,2,True
0.5,2D,5.0,-1.0,2.0,1.0,0.0,2,True
0.5,2D,0.0,0.0,2.0,1.0,0.0,2,True
